Event Name,Short Name,Event Description,Event Category,Event Start Date,Event Time Starts,Event End Date,Event Time Ends,Free Event,Accesible Event,Event Website,Event Email,Event Telephone,Location,Latitude,Longitude,Event Attendance,Mean Attendance per Day
St. Patrick's Day Parade,St. Patrick's Day,Festive parade returning to the streets of downtown.,Parade / Culture,2022-03-20,12:00:00,2022-03-20,3:00:00 PM,Yes,Yes,stpatrickstoronto.com,info@stpatrickstoronto.com,+1 416-996-8431,Yonge Street,43.6673,-79.3994,300000,300000
Toronto Blue Jays Opening Day,Blue Jays Day 1,MLB season home opener against Texas Rangers at full capacity.,Sports,2022-04-08,19:00:00,2022-04-08,10:30:00 PM,No,Yes,mlb.com/bluejays,fanfeedback@bluejays.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,45022,45022
National Home Show,Home Show Day 1,Consumer show for home improvement and decor.,Exhibition,2022-04-15,10:00:00,2022-04-15,8:00:00 PM,No,Yes,nationalhomeshow.com,info@homeshow.ca,+1 416-644-5400,Enercare Centre,43.6334,-79.4124,150000,15000
National Home Show,Home Show Day 2,Consumer show for home improvement and decor.,Exhibition,2022-04-16,10:00:00,2022-04-16,8:00:00 PM,No,Yes,nationalhomeshow.com,info@homeshow.ca,+1 416-644-5400,Enercare Centre,43.6334,-79.4124,150000,15000
National Home Show,Home Show Day 3,Consumer show for home improvement and decor.,Exhibition,2022-04-17,10:00:00,2022-04-17,6:00:00 PM,No,Yes,nationalhomeshow.com,info@homeshow.ca,+1 416-644-5400,Enercare Centre,43.6334,-79.4124,150000,15000
Redway Road Stair Climb,Bike & Climb Day 1,Community cycling and hiking challenge.,Sports / Outdoor,2022-05-14,9:00:00 AM,2022-05-14,2:00:00 PM,Yes,No,toronto.ca/parks,parks@toronto.ca,+1 416-338-0338,Crothers Woods,43.6936,-79.3524,2000,2000
ActiveTO Lakeshore West,ActiveTO Day 1,Major road closure for cyclists and pedestrians.,Sports / Outdoor,2022-05-21,7:00:00 AM,2022-05-21,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Lakeshore Blvd West,43.6333,-79.414,40000,20000
ActiveTO Lakeshore West,ActiveTO Day 2,Major road closure for cyclists and pedestrians.,Sports / Outdoor,2022-05-22,7:00:00 AM,2022-05-22,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Lakeshore Blvd West,43.6333,-79.414,40000,20000
Doors Open Toronto,Doors Open Day 1,Free access to city buildings and historical landmarks.,Culture / History,2022-05-28,10:00:00,2022-05-28,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
Doors Open Toronto,Doors Open Day 2,Free access to city buildings and historical landmarks.,Culture / History,2022-05-29,10:00:00,2022-05-29,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
